PM2.5,PM10,NO2,SO2,CO,O3,AQI
19.1,61.09,34.89,1.23,0.4,18.26,61.09
17.27,53.57,29.84,2.39,0.34,20.07,53.57
11.28,41.35,28.06,1.67,0.26,20.21,41.35
13.89,47.54,29.15,1.99,0.4,18.41,47.54
9.55,35.0,26.18,2.33,0.31,18.63,35.0
14.88,44.8,27.55,2.62,0.42,20.97,44.8
22.9,61.68,25.74,1.86,0.41,31.32,61.68
18.71,44.69,21.89,1.59,0.3,37.89,44.69
20.42,58.59,24.55,2.15,0.36,36.14,58.59
21.88,49.78,26.29,2.44,0.43,28.9,49.78
5.28,25.72,18.23,1.05,0.3,16.83,25.72
11.72,30.07,19.5,0.73,0.26,19.18,30.07
10.02,29.95,21.67,1.97,0.29,21.88,29.95
15.58,30.92,24.55,1.74,0.24,20.11,30.92
9.48,26.91,23.11,1.37,0.22,18.19,28.8875
10.65,46.46,22.73,1.65,0.31,19.3,46.46
27.1,89.38,26.7,1.89,0.46,32.01,89.38
25.43,78.51,24.9,1.88,0.38,37.67,78.51
42.21,96.72,23.58,5.72,0.46,53.44,96.72
27.26,69.93,22.44,1.51,0.37,38.02,69.93
27.46,107.69,26.78,4.12,0.39,34.91,105.44503355704698
25.81,100.65,23.98,1.93,0.32,31.68,43.016666666666666
17.46,69.47,20.27,2.07,0.24,28.67,69.47
16.1,56.9,22.66,1.64,0.27,28.88,56.9
16.82,58.33,24.27,1.45,0.3,29.02,58.33
18.91,46.85,26.72,1.13,0.37,36.33,46.85
11.98,38.52,23.53,1.3,0.3,33.64,38.52
9.86,36.25,28.27,1.68,0.25,25.52,36.25
13.01,41.07,30.15,1.83,0.43,22.1,41.07
13.38,40.93,29.25,1.71,0.5,26.11,40.93
12.09,37.39,27.27,1.11,0.36,19.0,37.39
12.56,33.71,25.6,1.81,0.38,23.11,33.71
6.46,20.82,25.13,1.22,0.3,22.03,31.412499999999998
11.04,32.76,23.8,1.21,0.31,20.63,32.76
10.84,45.45,22.86,1.06,0.31,18.19,45.45
5.21,25.73,19.32,0.77,0.21,16.95,25.73
4.4,17.75,19.42,0.9,0.26,18.55,24.275000000000002
5.63,22.9,16.55,0.89,0.21,17.8,22.9
3.93,16.01,17.54,1.3,0.22,16.75,21.924999999999997
3.93,15.05,18.13,1.59,0.26,23.63,23.63
4.9,16.98,17.7,0.34,0.31,20.84,22.125
4.73,13.68,17.33,1.1,0.27,16.95,21.662499999999998
3.32,16.77,16.64,0.87,0.28,16.78,20.8
5.56,21.99,16.63,0.84,0.2,18.47,21.99
14.26,49.27,16.36,1.61,0.25,13.23,49.27
10.92,35.73,16.8,1.02,0.23,17.57,35.73
18.57,67.11,18.23,1.72,0.22,19.01,67.11
38.39,124.49,22.13,1.16,0.25,14.85,116.60744966442952
33.23,118.58,25.01,1.44,0.32,17.01,112.6806711409396
28.59,98.5,24.04,1.67,0.29,18.82,98.5
16.29,50.91,20.96,1.22,0.28,18.83,27.15
9.48,37.97,19.21,2.13,0.23,16.48,37.97
10.27,46.96,22.17,0.96,0.29,19.55,46.96
9.88,28.97,21.36,0.6,0.35,14.05,28.97
11.57,29.19,21.83,1.51,0.39,23.76,29.19
14.91,40.31,26.3,1.21,0.39,25.47,40.31
