country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","27-01-2026 09:00:00",28.732820,77.170633,PM2.5,277,500,384
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","27-01-2026 09:00:00",28.4706914,77.1099364,PM2.5,92,413,241
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","27-01-2026 09:00:00",28.7256504,77.2011573,NO2,95,191,133
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","27-01-2026 09:00:00",28.7256504,77.2011573,OZONE,5,186,8
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","27-01-2026 09:00:00",28.5512005,77.2735737,PM2.5,79,411,257
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","27-01-2026 09:00:00",28.656756,77.227234,PM10,93,485,286
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","27-01-2026 09:00:00",28.656756,77.227234,NH3,9,25,15
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","27-01-2026 09:00:00",28.656756,77.227234,OZONE,4,88,7
India,Delhi,Delhi,"DTU, Delhi - CPCB","27-01-2026 09:00:00",28.7500499,77.1112615,NO2,15,35,26
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","27-01-2026 09:00:00",28.498571,77.264840,NH3,7,10,8
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","27-01-2026 09:00:00",28.60909,77.0325413,OZONE,22,34,23
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","27-01-2026 09:00:00",28.570173,76.933762,NO2,87,122,108
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","27-01-2026 09:00:00",28.570173,76.933762,OZONE,4,8,4
India,Delhi,Delhi,"Narela, Delhi - DPCC","27-01-2026 09:00:00",28.822836,77.101981,PM2.5,160,420,292
India,Delhi,Delhi,"Narela, Delhi - DPCC","27-01-2026 09:00:00",28.822836,77.101981,NO2,9,61,30
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","27-01-2026 09:00:00",28.567890,77.250515,CO,4,124,60
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","27-01-2026 09:00:00",28.530785,77.271255,NO2,82,224,139
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","27-01-2026 09:00:00",28.530785,77.271255,CO,60,160,128
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","27-01-2026 09:00:00",28.623763,77.287209,NO2,29,129,79
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","27-01-2026 09:00:00",28.623763,77.287209,SO2,12,22,18
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","27-01-2026 09:00:00",22.08815,82.13737,SO2,9,89,32
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","27-01-2026 09:00:00",22.118125,83.140608,PM2.5,61,223,110
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","27-01-2026 09:00:00",22.368195,82.746431,SO2,5,82,20
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","27-01-2026 09:00:00",22.348441,82.549611,NO2,19,28,22
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","27-01-2026 09:00:00",22.348441,82.549611,NH3,1,1,1
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","27-01-2026 09:00:00",22.126650,83.483212,CO,30,62,46
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","27-01-2026 09:00:00",22.1910172,83.5197009,NH3,1,2,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","27-01-2026 09:00:00",22.1910172,83.5197009,SO2,13,23,15
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","27-01-2026 09:00:00",22.1910172,83.5197009,OZONE,5,175,12
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","27-01-2026 09:00:00",21.258815,81.578979,PM10,33,166,95
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","27-01-2026 09:00:00",21.258815,81.578979,OZONE,1,3,1
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","27-01-2026 09:00:00",21.237755,81.705301,NO2,20,33,26
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","27-01-2026 09:00:00",21.371751,81.664929,SO2,3,8,5
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","27-01-2026 09:00:00",28.695381,77.181665,PM2.5,223,483,364
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","27-01-2026 09:00:00",28.5504249,77.2159377,CO,17,118,106
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","27-01-2026 09:00:00",28.5504249,77.2159377,OZONE,12,26,13
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","27-01-2026 09:00:00",28.710508,77.249485,PM10,134,422,281
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","27-01-2026 09:00:00",28.710508,77.249485,NO2,27,95,54
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","27-01-2026 09:00:00",28.531346,77.190156,NO2,14,80,41
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","27-01-2026 09:00:00",28.531346,77.190156,CO,24,106,89
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","27-01-2026 09:00:00",28.672342,77.315260,NO2,36,117,69
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","27-01-2026 09:00:00",28.699793,77.165453,OZONE,6,46,35
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","27-01-2026 09:00:00",28.674045,77.131023,NH3,4,5,4
India,Delhi,Delhi,"Pusa, Delhi - DPCC","27-01-2026 09:00:00",28.639652,77.146275,SO2,3,12,7
India,Delhi,Delhi,"Pusa, Delhi - DPCC","27-01-2026 09:00:00",28.639652,77.146275,CO,60,100,85
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","27-01-2026 09:00:00",28.563262,77.186937,NH3,7,12,9
India,Delhi,Delhi,"Rohini, Delhi - DPCC","27-01-2026 09:00:00",28.732528,77.119920,PM10,143,495,323
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","27-01-2026 09:00:00",28.6514781,77.1473105,SO2,8,24,15
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","27-01-2026 09:00:00",28.6514781,77.1473105,OZONE,17,25,22
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","27-01-2026 09:00:00",28.580280,77.233829,PM2.5,167,423,317
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","27-01-2026 09:00:00",28.580280,77.233829,NO2,45,147,77
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","27-01-2026 09:00:00",28.611281,77.237738,PM2.5,85,373,266
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","27-01-2026 09:00:00",28.611281,77.237738,CO,35,117,91
India,Delhi,Delhi,"Mundka, Delhi - DPCC","27-01-2026 09:00:00",28.684678,77.076574,PM10,104,500,300
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","27-01-2026 09:00:00",28.60909,77.0325413,CO,44,86,61
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","27-01-2026 09:00:00",28.3153,76.9143,PM2.5,25,320,67
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","27-01-2026 09:00:00",30.7057778,76.8531805555555,CO,6,16,15
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","27-01-2026 09:00:00",29.432304,76.972765,NO2,31,32,31
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","27-01-2026 09:00:00",29.432304,76.972765,SO2,18,19,19
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","27-01-2026 09:00:00",28.52123,76.37138,SO2,11,13,12
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-01-2026 09:00:00",29.536400,75.015800,NO2,9,24,18
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-01-2026 09:00:00",29.536400,75.015800,NH3,12,16,14
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-01-2026 09:00:00",29.536400,75.015800,SO2,4,27,15
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-01-2026 09:00:00",29.536400,75.015800,CO,31,86,46
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","27-01-2026 09:00:00",29.027200,77.062100,SO2,5,11,7
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","27-01-2026 09:00:00",30.1480566,77.2893471,PM10,102,173,134
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","27-01-2026 09:00:00",15.888653,74.541751,CO,2,4,2
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","27-01-2026 09:00:00",12.9352049,77.6814488,OZONE,11,45,27
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","27-01-2026 09:00:00",12.951913,77.539784,PM10,41,135,73
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","27-01-2026 09:00:00",12.951913,77.539784,OZONE,13,30,21
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","27-01-2026 09:00:00",12.9756843,77.5660749,CO,NA,NA,NA
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","27-01-2026 09:00:00",13.029152,77.585901,NO2,35,44,38
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","27-01-2026 09:00:00",13.029152,77.585901,SO2,10,17,13
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","27-01-2026 09:00:00",12.938539,77.590100,NO2,13,58,27
